asn,arts_entertainment_and_recreation,financial_and_insurance_activities,household_activities,human_health_and_social_work,information_and_communication,manufacturing,public_administration_and_defense,trade_and_repair_of_vehicles,transportation_and_storage,utilities_and_waste_management,agriculture_forestry_and_fishing,mining_and_quarrying,construction,accommodation_and_food_service,real_estate_activities,professional_scientific_and_technical_activities,administrative_and_support_service_activities,education,other_service_activities,extraterritorial_organizations_and_bodies
AS262249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS61585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS52315,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS33248,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS61471,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS39940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS28581,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS266960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS44044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS41567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS39133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS16780,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS19688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10794,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9776,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9772,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9703,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9702,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9641,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9570,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9520,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9261,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8904,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7734,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7646,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7466,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7306,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6817,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6815,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS64065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS64046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS22798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS265806,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS33000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS212330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS211100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS49459,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS328398,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS57127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS210580,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS271885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS56507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS33519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS397736,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS15101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS21764,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS11894,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS13475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS395410,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS22769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS36456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS262201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS70,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS26810,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS61738,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS33343,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS41548,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS12891,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS2799,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS15147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS134099,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS27674,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS138424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS13506,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS54521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS29992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS13611,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS23888,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS25996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS11724,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS13788,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5663,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3635,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS30313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5744,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS15991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5766,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5774,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS11985,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5852,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS12037,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS22284,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS200521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS14298,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS132634,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS202024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS42894,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS58488,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS12564,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS21096,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS139442,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS264705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS136061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS137313,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS63826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17564,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS131352,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS42186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS150703,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS38764,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS202553,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS30885,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS203396,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS198395,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS24595,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS39279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS47672,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS197388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS56811,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS13134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS34339,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS44586,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5576,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS46018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS48037,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS56236,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS13011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS141201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS202277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS31313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5408,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS820,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS2665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS51437,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS43188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS20548,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS34073,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS206362,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS35506,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS50893,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS31581,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS15383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS1955,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS48298,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS2513,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS31065,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS135956,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS135008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3923,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS135428,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS133826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10754,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS38027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS37937,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS140750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8798,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS198561,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS1009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS4152,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS55597,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS131799,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45972,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45408,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9974,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45990,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7557,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS38708,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3608,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10186,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9707,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9455,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS18310,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS38388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS55613,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS55604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9487,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS38112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45397,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17841,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9458,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9854,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45973,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10161,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17582,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9685,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17574,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9860,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9633,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17865,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17844,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS131097,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS270674,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS262385,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS269014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS264900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS269491,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS398230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS203421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS271466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS50224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS198498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS202975,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS268525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS264153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS205279,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS269673,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS265740,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS25094,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS202886,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS133968,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS38755,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS48850,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS135775,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS152756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS199995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS24789,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS270581,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS271626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS206072,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS200857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS139450,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS38011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS262312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS37576,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS60524,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS266009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS28349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS134654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS135244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS15706,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS201680,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS199338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS140399,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS53049,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS268146,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS199104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS37663,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS30373,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS271694,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS327932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS140457,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS40992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS273024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17547,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS35871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS207684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS44901,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS25133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS264857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS146847,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS48487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS267320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS38200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS63212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS329174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS48987,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS269064,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS271595,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263524,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS59155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS199837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS200556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS267905,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS265672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS197075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS35940,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS37682,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS149251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263922,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS269258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS812,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS203529,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS63602,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS210882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS272061,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS24889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS46032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS47559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS149854,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS210654,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS35104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS142115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS26621,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS199449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS58369,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS200779,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS28181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263378,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS265851,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS42437,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS272268,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
